"B008","C001","C002","E018","E034","E035","E036","E039","F028","F116","F118","F120","F121","F144_02","G006","X001","X003","X025R","X028","X049","X051","Y001","E033","E179WVS"
1,1,2,2,2,8,NA,1,2,5,NA,1,10,10,3,1,23,2,1,8,1,NA,7,NA
NA,1,2,3,3,10,NA,1,1,10,10,10,10,5,3,2,23,1,0,8,1,2,5,NA
1,1,2,2,3,10,NA,5,8,10,1,5,3,7,1,2,24,3,0,7,0,NA,5,NA
2,2,2,1,2,2,1,1,1,6,10,10,9,1,1,2,24,NA,0,8,1,1,10,76004
1,1,3,3,2,10,5,5,7,NA,1,1,5,8,4,1,24,1,1,8,0,2,5,NA
1,1,2,3,2,1,7,8,2,7,2,1,1,9,2,2,24,3,0,3,0,2,5,NA
1,3,3,2,2,4,5,6,NA,5,5,4,4,5,2,2,24,1,1,8,0,NA,5,76001
2,2,3,3,2,6,9,2,7,1,1,3,6,4,2,2,24,3,1,7,1,NA,10,NA
1,2,2,3,3,1,5,8,2,1,1,1,5,7,4,2,24,2,0,6,0,4,2,NA
1,2,2,2,2,10,10,1,7,1,1,1,10,1,4,2,24,2,0,6,0,3,NA,NA
2,2,2,3,2,10,10,1,7,10,1,1,10,10,4,1,24,1,1,8,0,NA,5,76002
1,1,2,3,1,3,2,1,5,1,10,6,10,1,3,1,24,3,1,8,1,3,5,NA
1,1,1,3,2,10,10,1,6,1,10,1,10,1,2,2,24,NA,0,5,0,3,1,76002
2,1,1,3,1,5,10,1,7,5,10,1,NA,5,4,1,24,3,1,6,0,3,NA,NA
NA,2,2,3,2,3,7,5,6,6,3,1,5,5,3,2,24,2,1,8,0,NA,6,76001
